Street Address,Neighborhood,Map-Lot,Map,Lot,Land Area,Land Use Code,Land Use Category,Land Use Description,Existing Units,Mixed Use,Group Quarters,Grad Student Housing,Condo,Tax Status,Location 1
103 BELMONT ST,13,255-54,255,54,3548,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1540458837 42.3753423)
179 BROOKLINE ST,5,94-7,94,7,13478,316,Commercial,WAREHOUSE,0,,,,,,POINT (-71.1059940898 42.359665374)
196 AUBURN ST,5,105-26,105,26,4061,111,Residential,4-8-UNIT-APT,7,,,,,,POINT (-71.1062795869 42.3641221595)
NY CENTRAL RR,5,55-22,55,22,41250,975,Transportation,MBTA/Railroad,0,,,,,Educ NonTax,POINT (-71.0978268066 42.359248274)
86 RICHDALE AVE,9,201-34,201,34,3612,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1242634957 42.388566543)
124 WESTERN AVE,7,125-42,125,42,7566,031,Commerical w/ Residential,MULTIUSE-COM,1,mixed,,,,,POINT (-71.1082485955 42.3647164868)
356 WINDSOR ST,3,78-55,78,55,2800,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.0941139956 42.369809598)
163 MT AUBURN ST,10,167-63,167,63,3256,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1259969216 42.3745898955)
254-256 COLUMBIA ST,4,77-20,77,20,4332,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.0962288774 42.3693198223)
67 CLIFTON ST,11,193-1,193,1,3738,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1360011734 42.395597861)
60 MOULTON ST,12,267F-291,267F,291,10750,337,Transportation,PARKING-LOT,0,,,,,,POINT (-71.1473743012 42.3916557472)
141 COOLIDGE HILL,10,242A-100,242A,100,20000,1014,Residential,SINGLE FAM W/AU,2,,,,,,POINT (-71.1395833563 42.3725001149)
25 WALKER ST,9,214-40,214,40,3647,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.123634723 42.3797555586)
46-50 FAYETTE ST,6,114A-13,114A,13,5385,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1026651671 42.372846177)
5 MERCER CIR,10,220-47,220,47,10918,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1300785247 42.3765313678)
622 GREEN ST,7,121-20,121,20,2224,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1119847179 42.3685686258)
158-178 CONCORD AVE,10,226-67,226,67,39331,340,Office,GEN-OFFICE,0,,,,,,POINT (-71.1307038067 42.3818405145)
171 MAGAZINE ST,5,100-21,100,21,4230,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1132274204 42.3574775321)
469 HURON AVE,10,248-92,248,92,4702,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.142755107 42.380643237)
504-506 FRANKLIN ST,7,120-5,120,5,5928,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1108966398 42.3675166449)
176 FAWCETT ST,12,267.4-285,267.4,285,35935,401,Industrial,WAREHOUSE,0,,,,,,POINT (-71.1494168791 42.3937414602)
71 DUDLEY ST,11,191-75,191,75,1890,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1319237133 42.3959209221)
95 CHILTON ST,10,263-122,263,122,4500,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1375168341 42.3840785936)
335 HURLEY ST,1,26-164,26,164,3150,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.0848497854 42.3691326046)
10 HANCOCK PL,6,117-82,117,82,4644,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1069286024 42.3694423404)
5 PERRY ST,5,103-86,103,86,2784,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.106158583 42.361887391)
72-74 KIRKLAND ST,6,141-69,141,69,14723,112,Residential,>8-UNIT-APT,31,,,,,,POINT (-71.1091264851 42.3774490953)
48A ROBERTS RD,6,141-98,141,98,1204,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1077968521 42.3775159686)
2 HASTINGS SQ,5,98-30,98,30,5200,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.10964323640002 42.3567946899)
35 CAMBRIDGEPARK DR,11,265D-48,265D,48,36129,975,Transportation,MBTA/Railroad,0,,,,,State NonTax,POINT (-71.14344074 42.3958014036)
64 MT VERNON ST,9,177-3,177,3,6439,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1217964147 42.387451688)
104R ELLERY ST,6,139-90,139,90,5176,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1082408871 42.3741009133)
349 NORFOLK ST,3,85-10,85,10,2217,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.0966549281 42.3728825804)
147R PROSPECT ST,6,108-83,108,83,7278,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1019285433 42.3690524049)
52 CEDAR ST,11,192-56,192,56,7420,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1306274725 42.394644735)
29 IRVING ST,6,142-175,142,175,5451,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1111024886 42.3760147827)
20 PLEASANT ST,7,105-80,105,80,1372,920,Public Open Space,Parklands,0,,,,,City NonTax,POINT (-71.1065982053 42.3652422969)
95 HAMPSHIRE ST,3,79-91,79,91,2100,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.0949553332 42.3691439797)
38 ORCHARD ST,11,181-57,181,57,5193,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1206329883 42.391248293400004)
225 MONSIGNOR OBRIEN HWY,1,7-29,7,29,32682,400,Industrial,MANUFACTURNG,0,,,,,,POINT (-71.0801895545 42.373205019)
20-22 CONCORD AVE,10,216-3,216,3,11224,112,Residential,>8-UNIT-APT,38,,,,true,,POINT (-71.1252522548 42.3788912237)
199 CARDINAL MEDEIROS AVE,3,40-197,40,197,7519,337,Transportation,PARKING-LOT,0,,,,,Other NonTax,POINT (-71.0916326668 42.3671128076)
11-15 EUSTIS ST,8,151-102,151,102,2523,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1153791244 42.3836943509)
96 WINTHROP ST,10,162-19,162,19,2960,326,Commercial,EATING-ESTBL,0,,,,,,POINT (-71.1211715621 42.3722877982)
152 PEARL ST,5,94-221,94,221,2655,111,Residential,4-8-UNIT-APT,5,,,,true,,POINT (-71.1064440402 42.3609919248)
30 RICHARD AVE,11,186-66,186,66,4878,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1329206735 42.4007640261)
1678 MASSACHUSETTS AVE,9,174-32,174,32,2562,031,Commerical w/ Residential,MULTIUSE-COM,1,mixed,,,,,POINT (-71.120061526 42.3824100773)
234 COLUMBIA ST,4,77-17,77,17,1211,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0965464479 42.3689678135)
110 SPRING ST,1,26-42,26,42,1242,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.0832235904 42.3691754105)
18 ELLERY SQ,6,135-142,135,142,1335,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1094854967 42.3724463343)
675 MASSACHUSETTS AVE,6,107-136,107,136,44436,340,Office,GEN-OFFICE,0,,,,,,POINT (-71.1037786383 42.3662586091)
412 PUTNAM AVE,5,101-42,101,42,5000,111,Residential,4-8-UNIT-APT,4,,,,,,POINT (-71.111895832 42.3598622446)
218 HAMILTON ST,5,102-134,102,134,5169,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1094259709 42.3598571277)
54 GOLD STAR RD,11,184-121,184,121,2275,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1300415236 42.3993757824)
244 GARDEN ST,9,262-152,262,152,2861,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1352537338 42.3864270168)
108 LARCH RD,10,249-16,249,16,6296,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1431523429 42.3786431301)
198 HAMILTON ST,5,102-135,102,135,2057,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1089973849 42.3598255255)
11 NEWMAN ST,11,186-24,186,24,3825,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1343734783 42.4007144471)
37 COTTAGE ST,5,105-11,105,11,2783,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1071677797 42.3635450624)
27-29 UPLAND RD,9,178-101,178,101,3750,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1206702239 42.3882444091)
9A PLYMOUTH ST,3,40-252,40,252,1559,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.090951771 42.3687163878)
AMORY ST,6,109-2,109,2,15090,920,Public Open Space,Parklands,0,,,,,City NonTax,POINT (-71.1014886204 42.3710147871)
97 GORE ST,1,22-114,22,114,1004,972,Transportation,Road Right of Way,0,,,,,City NonTax,POINT (-71.0821742826 42.3721863181)
9 BEECH ST,11,181-60,181,60,5247,960,Charitable/Religious,Religious,0,,,,,Religious NonTax,POINT (-71.1204343122 42.3909633676)
29 ALEWIFE BROOK PKWY,11,185-42,185,42,5323,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1342650109 42.4023047806)
8 ST JOHNS RD,10,217-14,217,14,60802,9421,Education Residential,Private College Res Units,6,,,,,Educ NonTax,POINT (-71.1261615941 42.3777397261)
13 LEONARD AVE,6,111-5,111,5,3444,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1054033897 42.3756004286)
2 HOLLIS PK,11,196-103,196,103,2375,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1292025324 42.3936207556)
618 HURON AVE,13,258-65,258,65,4143,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1507353652 42.3792067243)
12 UNION ST,4,77-38,77,38,2030,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0955762936 42.3689831631)
86 SPARKS ST,10,226-23,226,23,6978,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1317912058 42.3812703101)
58 DANA ST,6,139-46,139,46,1461,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1078329939 42.3730764237)
68 FAYERWEATHER ST,10,237-81,237,81,5000,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1372215005 42.3804650899)
67A DANA ST,6,139-96,139,96,3900,111,Residential,4-8-UNIT-APT,4,,,,,,POINT (-71.1083108888 42.3735930027)
2151 MASSACHUSETTS AVE,11,181-200,181,200,1541,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1240039078 42.3924574653)
35 LAKEVIEW AVE,10,236-3,236,3,13956,1014,Residential,SINGLE FAM W/AU,2,,,,,,POINT (-71.1385062624 42.3776706584)
77 GROZIER RD,10,247-208,247,208,6095,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1418014302 42.3799325332)
188 FRANKLIN ST,5,93-90,93,90,4628,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1032079782 42.3630889288)
112 AMORY ST,6,110-105,110,105,2877,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1002433914 42.371852668)
29 SOUTH NORMANDY AVE,12,267A-253,267A,253,6196,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1567438118 42.3933311274)
56 JFK ST,7,162-36,162,36,6273,345,Office,RETAIL-OFFIC,0,,,,,,POINT (-71.1204552238 42.3717332183)
29 FULKERSON ST,1,34-95,34,95,1000,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0872963619 42.3710651172)
60R MT AUBURN ST,7,161-91,161,91,4968,132,Vacant,RES-UDV-LAND,0,,,,,,POINT (-71.1176792829 42.37130728060001)
10 CLAY ST,11,193-213,193,213,6383,111,Residential,4-8-UNIT-APT,4,,,,,,POINT (-71.1343797238 42.3938460174)
8 SEVEN PINES AVE,11,184-125,184,125,2457,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1291537629 42.3988856734)
8 CAMBRIDGE CTR,2,43-74,43,74,5958,920,Public Open Space,Parklands,0,,,,,Authority NonTax,POINT (-71.0885890914 42.3640817184)
65 LANDSDOWNE ST,5,69-182,69,182,38729,406,Office/R&D,HIGH-TECH,0,,,,,,POINT (-71.1009089607 42.3606245691)
1-17 COWPERTHWAITE ST,7,132-157,132,157,29095,112,Residential,>8-UNIT-APT,145,,,,,,POINT (-71.1152888462 42.36899972220001)
32 MASSACHUSETTS AVE,2,58-74,58,74,9399,942,Higher Education,Private College,0,,,,,Educ NonTax,POINT (-71.0935176709 42.3582939175)
254 BROOKLINE ST,5,96-26,96,26,3320,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1073150842 42.3577612133)
315 CAMBRIDGE ST,1,21-1,21,1,6000,960,Charitable/Religious,Religious,0,,,,,Religious NonTax,POINT (-71.0812510913 42.371441076)
113 BRATTLE ST,10,217-12,217,12,33907,943,Higher Education,Other Educ & Research Org,0,,,,,Educ NonTax,POINT (-71.1270012296 42.377107530400004)
171 HAMPSHIRE ST,3,84-51,84,51,3851,960,Charitable/Religious,Religious,0,,,,,Religious NonTax,POINT (-71.098480996 42.3721070703)
152 FIFTH ST,1,26-97,26,97,1500,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0836482132 42.3684285551)
164 AUBURN ST,5,106-25,106,25,3200,121,Boarding House/Assisted Living,BOARDING-HSE,8,,,,,,POINT (-71.1051656602 42.363448944)
12 KINNAIRD ST,7,125-61,125,61,2250,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1086853421 42.3645338934)
22 COGSWELL AVE,11,199-110,199,110,15254,112,Residential,>8-UNIT-APT,17,,,,,,POINT (-71.1249197425 42.3906308125)
87 GORE ST,1,22-59,22,59,3800,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.0816699861 42.3721902552)
12 WALDEN ST,11,200-91,200,91,6268,337,Transportation,PARKING-LOT,0,,,,,City NonTax,POINT (-71.1232951667 42.3908003612)
277 BROADWAY,4,86-82,86,82,8719,0112,Residential Ground Floor Comm,MXD >8-UNIT-APT,9,groundfloor,,,,,POINT (-71.0975144077 42.3681646756)
68 ALLSTON ST,5,96-73,96,73,2008,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.106382767 42.3574102708)
14-16 TENNEY ST,11,180-25,180,25,3225,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1209330079 42.392685805)
58B HAMMOND ST,8,149-133,149,133,1188,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1140163455 42.3808268987)
4 MERCER CIR,10,220-72,220,72,14537,1014,Residential,SINGLE FAM W/AU,2,,,,,,POINT (-71.1296686212 42.3764698959)
2322 MASSACHUSETTS AVE,11,192-75,192,75,6000,345,Office,RETAIL-OFFIC,0,,,,,,POINT (-71.1285589647 42.3954854471)
56 HURON AVE,9,207-72,207,72,4672,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1281945133 42.3844351035)
9 LAUREL ST,5,125-83,125,83,1840,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.110347262 42.362835426800004)
136 CUSHING ST,13,256-85,256,85,8442,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1525049505 42.3786062346)
15C ROBERTS RD,6,140-154,140,154,2731,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1088993886 42.3760191255)
196 APPLETON ST,10,230-67,230,67,4650,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1331534792 42.3827001698)
544 MASSACHUSETTS AVE,5,93-74,93,74,4391,345,Office,RETAIL-OFFIC,0,,,,,,POINT (-71.1024437993 42.3643151824)
49 GROZIER RD,10,247-148,247,148,6109,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1414762002 42.3790050828)
34 PORTER RD,11,178-127,178,127,4827,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1212434065 42.3889416774)
244 PROSPECT ST,4,87-32,87,32,4200,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.09935947470001 42.3712759243)
11 ANDREW ST,5,127-48,127,48,2720,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1118804995 42.3618356725)
151 WALDEN ST,9,204-126,204,126,2524,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1279391268 42.38744695340001)
96-98 BANKS ST,7,131-51,131,51,2348,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1144907455 42.3683514011)
8 DAVENPORT ST,11,179-68,179,68,1910,111,Residential,4-8-UNIT-APT,4,,,,,,POINT (-71.1195556553 42.389526828)
10 BERKSHIRE PL,3,40-68,40,68,1365,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0913553695 42.3683408249)
34 MAPLE AVE,6,113-26,113,26,2938,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1040950177 42.3729078064)
1245 CAMBRIDGE ST,3,83-67,83,67,11541,013,Residential w/ Commercial,MULTIUSE-RES,15,mixed,,,true,,POINT (-71.098414973 42.373613011)
129 GARDEN ST,9,228-5,228,5,2355,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.130814627 42.3846718147)
114 PINE ST,4,75-79,75,79,5000,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0973811188 42.3659376242)
73 FIFTH ST,1,23-145,23,145,1110,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.0834642789 42.3708767146)
18 WALKER ST,9,214-59,214,59,3045,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1240913888 42.3800245235)
31 HARDING ST,3,36-40,36,40,1820,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0905992656 42.3734586135)
174 THIRD ST,1,17-34,17,34,1590,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0804654799 42.3681290313)
42 BIGELOW ST,6,118-48,118,48,1346,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1044861922 42.3686407058)
10 ORRIN ST,9,229-154,229,154,2259,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1308683821 42.3841831125)
135 FAYERWEATHER ST,10,263-129,263,129,4320,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1364873232 42.3841102086)
202 BRATTLE ST,10,246-1019,246,1019,10650,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1390980519 42.3762407956)
138-140 JACKSON ST,11,190-30,190,30,3120,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1354758587 42.3973445684)
1122 MASSACHUSETTS AVE,7,133-30,133,30,2842,345,Office,RETAIL-OFFIC,0,,,,,,POINT (-71.1139626623 42.3706567044)
166 SIDNEY ST,5,67-14,67,14,11633,404,Office/R&D,RES-&-DEV-FC,0,,,,,,POINT (-71.1042268145 42.3586007828)
26 NORMANDY TER,12,267A-260,267A,260,7198,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1549319132 42.3945456851)
99 ERIE ST,5,95-75,95,75,37844,404,Office/R&D,RES-&-DEV-FC,0,,,,,,POINT (-71.1053048281 42.3590798835)
20 CAMBRIDGE TER,9,201-94,201,94,3625,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1230203544 42.3879709745)
35 SHEA RD,11,183-26,183,26,3113,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1278577844 42.3970253341)
29 WILLIAM ST,5,105-31,105,31,4675,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1063382435 42.3638572311)
383 HARVARD ST,6,135-23,135,23,14140,112,Residential,>8-UNIT-APT,63,,,,,,POINT (-71.1130671196 42.3720251656)
194 HURLEY ST,1,17-10,17,10,1505,340,Office,GEN-OFFICE,0,,,,,,POINT (-71.0808096246 42.368204017)
1 ST GERARD TER,11,196-117,196,117,2475,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1286915625 42.3933094969)
1727 CAMBRIDGE ST,6,143-10,143,10,5700,942,Higher Education,Private College,0,,,,,Educ NonTax,POINT (-71.1128411511 42.3755401309)
132 OXFORD ST,8,151-75,151,75,8190,112,Residential,>8-UNIT-APT,24,,,,true,,POINT (-71.1159071654 42.3853499329)
214 HAMPSHIRE ST,6,114A-67,114A,67,6000,930,Government,Government Operations,0,,,,,City NonTax,POINT (-71.1008464772 42.3734675959)
180 RAYMOND ST,9,203B-24,203B,24,4386,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1285352249 42.3886744343)
40 EUSTIS ST,8,150-102,150,102,4856,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1145628718 42.3833185068)
1008 CAMBRIDGE ST,3,80-160,80,160,3600,0105,Residential Ground Floor Comm,MXD THREE-FM-RE,3,groundfloor,,,,,POINT (-71.0938727375 42.3726488005)
121 SCIARAPPA ST,1,26-135,26,135,2624,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.0824654563 42.3679698576)
95 WINTHROP ST,10,162-74,162,74,22248,031,Commerical w/ Residential,MULTIUSE-COM,6,mixed,,,true,,POINT (-71.1209881351 42.3726171985)
16 SARGENT ST,11,195-96,195,96,4000,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1317385538 42.3926086863)
26 PORTER ST,3,36-79,36,79,7755,111,Residential,4-8-UNIT-APT,6,,,,,,POINT (-71.0888516286 42.3734028705)
84 ELLERY ST,6,139-196,139,196,5175,121,Boarding House/Assisted Living,BOARDING-HSE,8,,,,,,POINT (-71.1089507472 42.3733205823)
535-555 CAMBRIDGE ST,1,35-53,35,53,5935,013,Residential w/ Commercial,MULTIUSE-RES,4,mixed,,,true,,POINT (-71.0851528126 42.3719382)
8 VINEYARD ST,13,256-86,256,86,3978,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1527161759 42.3786607852)
70 PRINCE ST,5,101-59,101,59,2500,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1113251322 42.3610055101)
15 HUBBARD PARK RD,10,222-11,222,11,8839,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1317997401 42.3770026044)
214 WINDSOR ST,4,76-91,76,91,1652,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0952845862 42.3664506082)
27 LANCASTER ST,9,176-24,176,24,3960,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1216723661 42.3857816749)
46 SHEPARD ST,9,214-7,214,7,8763,112,Residential,>8-UNIT-APT,20,,,,true,,POINT (-71.1234302697 42.3805732491)
20-22 KENWOOD ST,5,101-114,101,114,2577,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1109700155 42.3603307228)
12 CARVER ST,8,149-57,149,57,5412,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1121772614 42.3819315212)
47 ERIE ST,5,67-65,67,65,23057,336,Transportation,PARKING-GAR,0,,,,,,POINT (-71.104018203 42.3582801727)
1073-1081 MASSACHUSETTS AVE,6,134-50,134,50,8946,0112,Residential Ground Floor Comm,MXD >8-UNIT-APT,20,groundfloor,,,,,POINT (-71.1130554224 42.3704128864)
66 SACRAMENTO ST,8,150-107,150,107,2993,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1135073044 42.3824891089)
64 STANDISH ST,10,234-89,234,89,6000,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1397529694 42.3828963483)
31 MAGNOLIA AVE,6,140-37,140,37,4050,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1068321831 42.3765948072)
119 BROOKLINE ST,5,94-101,94,101,4490,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1044814919 42.3610219224)
289-291 WINDSOR ST,4,77-65,77,65,7363,111,Residential,4-8-UNIT-APT,4,,,,true,,POINT (-71.0953054873 42.3684476354)
71 WASHINGTON AVE,9,210-9,210,9,14241,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1237927791 42.3858088422)
151-151A ERIE ST,5,94-208,94,208,3041,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1065301156 42.3596168423)
109 WINDSOR ST,4,74-24,74,24,4635,111,Residential,4-8-UNIT-APT,8,,,,,,POINT (-71.0967501663 42.3643071448)
90 SECOND ST,1,18-66,18,66,10299,401,Industrial,WAREHOUSE,0,,,,,,POINT (-71.0789041906 42.3683037691)
20 BELLEVUE AVE,9,209-15,209,15,4797,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1257262259 42.3859625754)
220 ERIE ST,5,102-78,102,78,8843,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1088893839 42.3605490087)
1C BLANCHARD RD,13,266-38,266,38,10750,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1590649832 42.3864465192)
138 SHERMAN ST,11,194-100,194,100,242667,975,Transportation,MBTA/Railroad,0,,,,,State NonTax,POINT (-71.1367464105 42.3913426161)
19 WARE ST,6,136-29,136,29,12491,111,Residential,4-8-UNIT-APT,7,,,,,,POINT (-71.1130179796 42.3734090993)
33-35 HOMER AVE,10,252-144,252,144,5031,111,Residential,4-8-UNIT-APT,8,,,,true,,POINT (-71.147822898 42.37602156170001)
23 BREWSTER ST,10,223-59,223,59,4342,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1318301562 42.3788696282)
91 FRESH POND PKWY,10,249-200,249,200,8221,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.14395033 42.3791123846)
270 HURON AVE,10,232-23,232,23,4262,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1348203179 42.3812962637)
42 COLUMBUS AVE,11,188-125,188,125,4209,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1377803793 42.399388748700005)
11 DONNELL ST,9,229-121,229,121,14560,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.13257349130001 42.3841456066)
10 COGSWELL AVE,11,199-114,199,114,1957,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.124475266 42.3910707932)
24 WINTER ST,1,21-29,21,29,5332,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.0806894729 42.3723189206)
80 KIRKLAND ST,6,141-92,141,92,6127,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1086543442 42.3775295415)
350 MEMORIAL DR,2,58-157,58,157,5250,942,Higher Education,Private College,0,,,,,Educ NonTax,POINT (-71.0950769676 42.3569089203)
3 WILLIAM ST,5,106-33,106,33,3074,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1049233199 42.3630181579)
128 ELM ST N,11,179-58,179,58,2800,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1182365812 42.3905458612)
110 INMAN ST,6,110-121,110,121,2589,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1010701908 42.3724461925)
20 GREENOUGH AVE,6,112-14,112,14,4000,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1062965094 42.3733862939)
104 LAKEVIEW AVE,10,235-56,235,56,8529,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1398375002 42.3793207526)
108 BRATTLE ST,10,219-19,219,19,17194,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1271441556 42.3763350716)
16 ABERDEEN AVE,10,252-140,252,140,5000,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1463456651 42.3756032965)
549 FRANKLIN ST,7,121-116,121,116,1065,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1116970395 42.3682860564)
237 ELM ST,3,85-33,85,33,5917,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.0960191585 42.3723877658)
307 FRESH POND PKWY,10,260-76,260,76,13910,326,Commercial,EATING-ESTBL,0,,,,,,POINT (-71.140969642 42.3845673197)
103 JACKSON ST,11,190-73,190,73,6000,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1349930969 42.3963295243)
